title,authors
The Smelly Eight: An Empirical Study on the Prevalence of Code Smells in Quantum Computing,"Qihong Chen,Rúben Câmara,José Campos,André Souto,Iftekhar Ahmed"
The untold story of code refactoring customizations in practice,"Daniel Oliveira,Wesley Assunção,Alessandro Garcia,Ana Carla Bibiano,Márcio Ribeiro,Rohit Gheyi,Baldoino Fonseca"
Tolerate Control-Flow Changes for Sound Data Race Prediction,"Shihao Zhu,Yuqi Guo,Long Zhang,Yan Cai"
Towards Understanding Fairness and its Composition in Ensemble Machine Learning,"Usman Gohar,Sumon Biswas,Hridesh Rajan"
Triggers for Reactive Synthesis Specifications,"Gal Amram,Dor Ma'ayan,Shahar Maoz,Or Pistiner,Jan Oliver Ringert"
Turn the Rudder: A Beacon of Reentrancy Detection for Smart Contracts on Ethereum,"Zibin Zheng,Neng Zhang,Jianzhong Su,Zhijie Zhong,Mingxi Ye,Jiachi Chen"
Twins or False Friends? A Study on Energy Consumption and Performance of Configurable Software,"Max Weber,Christian Kaltenecker,Florian Sattler,Sven Apel,Norbert Siegmund"
Two Sides of the Same Coin: Exploiting the Impact of Identifiers in Neural Code Comprehension,"Shuzheng Gao,Cuiyun Gao,Chaozheng Wang,Jun Sun,David Lo,Yue Yu"
Understanding and Detecting On-the-Fly Configuration Bugs,"Teng Wang,Zhouyang Jia,Shanshan Li,Si Zheng,Yue Yu,Erci Xu,Shaoliang Peng,Liao Xiangke"
Understanding the Threats of Upstream Vulnerabilities to Downstream Projects in the Maven Ecosystem,"Yulun Wu,Zeliang Yu,Ming Wen,Qiang Li,Deqing Zou,Hai Jin"
UpCy: Safely Updating Outdated Dependencies,"Andreas Dann,Ben Hermann,Eric Bodden"
Usability-Oriented Design of Liquid Types for Java,"Catarina Gamboa,Paulo Canelas,Christopher Steven Timperley,Alcides Fonseca"
Using Reactive Synthesis: An End-to-End Exploratory Case Study,"Dor Ma'ayan,Shahar Maoz"
Validating SMT Solvers via Skeleton Enumeration Empowered by Historical Bug-Triggering Inputs,"Maolin Sun,Yibiao Yang,Ming Wen,Yongcong Wang,Yuming Zhou,Hai Jin"
Verifying Data Constraint Equivalence in FinTech Systems,"Chengpeng Wang,Gang Fan,Peisen Yao,Fuxiong Pan,Charles Zhang"
ViolationTracker: Building Precise Histories for Static Analysis Violations,"Ping Yu,Yijian Wu,Xin Peng,Jiahan Peng,Jian Zhang,Peicheng Xie,Wenyun Zhao"
VulGen: Realistic Vulnerability Generation Via Pattern Mining and Deep Learning,"Yu Nong,Yuzhe Ou,Michael Pradel,Feng Chen,Haipeng Cai"
Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Xin-Cheng Wen,Yupan,Cuiyun Gao,Hongyu Zhang,Jie M. Zhang,Qing Liao"
What Challenges Do Developers Face About Checked-in Secrets in Software Artifacts?,"Setu Kumar Basak,Lorenzo Neil,Bradley Reaves,Laurie Williams"
When and Why Test Generators for Deep Learning Produce Invalid Inputs: an Empirical Study,"Vincenzo Riccio,Paolo Tonella"
When to Say What: Learning to Find Condition-Message Inconsistencies,"Islem BOUZENIA,Michael Pradel"
Which of My Assumptions are Unnecessary for Realizability and Why Should I Care?,"Rafi Shalom,Shahar Maoz"
