title,authors
Preserving Privacy in Software Composition Analysis: A Study of Technical Solutions and Enhancements,"Huaijin Wang,Zhibo Liu,Yanbo Dai,Shuai Wang,Qiyi Tang,Sen Nie,Shi Wu"
µPRL: a Mutation Testing Pipeline for Deep Reinforcement Learning based on Real FaultsSE for AI,"Deepak-George Thomas,Matteo Biagiola,Nargiz Humbatova,Mohammad Wardat,Gunel Jahangirova,Hridesh Rajan,Paolo Tonella"
Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and DefensesSecuritySE for AI,"Rodrigo Resendes Pedro,Miguel E. Coimbra,Daniel Castro,Paulo Carreira,Nuno Santos"
Puppy: Finding Performance Degradation Bugs in DBMSs via Limited-Optimization Plan Construction,"Zhiyong Wu,Jie Liang,Jingzhou Fu,Mingzhe Wang,Yu Jiang"
QEDCartographer: Automating Formal Verification Using Reward-Free Reinforcement Learning,"Alex Sanchez-Stern,Abhishek Varghese,Zhanna Kaufman,Shizhuo Zhang,Talia Lily Ringer,Yuriy Brun"
Rango: Adaptive Retrieval-Augmented Proving for Automated Software VerificationAward Winner,"Kyle Thompson,Nuno Saavedra,Pedro Carrott,Kevin Fisher,Alex Sanchez-Stern,Yuriy Brun,João F. Ferreira,Sorin Lerner,Emily First"
Ranking Relevant Tests for Order-Dependent Flaky Tests,"Shanto Rahman,Bala Naren Chanumolu,Suzzana Rafi,August Shi,Wing Lam"
Reasoning Runtime Behavior of a Program with LLM: How Far Are We?,"Junkai Chen,Zhiyuan Pan,Xing Hu,Zhenhao Li,Ge Li,Xin Xia"
REDII: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,"Yang Feng,Zheyuan Lin,Dongchen Zhao,Mengbo Zhou,Jia Liu,James Jones"
Reduce Dependence for Sound Concurrency Bug Prediction,"Shihao Zhu,Yuqi Guo,Yan Cai,Bin Liang,Long Zhang,Rui Chen,Tingting Yu"
Relationship Status: “It’s complicated” Developer-Security Expert Dynamics in ScrumSecurity,"Houda Naji,Marco Gutfleisch,Alena Naiakshina"
"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair","Islem BOUZENIA,Prem Devanbu,Michael Pradel"
Repository-Level Graph Representation Learning for Enhanced Security Patch DetectionSecurity,"Xin-Cheng Wen,Zirui Lin,Cuiyun Gao,Hongyu Zhang,Yong Wang,Qing Liao"
Revisiting Unnaturalness for Automated Program Repair in the Era of Large Language Models,"Aidan Z.H. Yang,Sophia Kolak,Vincent J. Hellendoorn,Ruben Martins,Claire Le Goues"
RLCoder: Reinforcement Learning for Repository-Level Code Completion,"Yanlin Wang,Yanli Wang,Daya Guo,Jiachi Chen,Ruikai Zhang,Yuchi Ma,Zibin Zheng"
ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation,"Xue Jiang,Yihong Dong,Yongding Tao,Huanyu Liu,Zhi Jin,Ge Li"
ROSA: Finding Backdoors with FuzzingSecurityAward Winner Best Artifact,"Dimitri Kokkonis,Michaël Marcozzi,Emilien Decoux,Stefano Zacchiroli"
RUG: Turbo LLM for Rust Unit Test GenerationSE for AI,"Xiang Cheng,Fan Sang,Yizhuo Zhai,Xiaokuan Zhang,Taesoo Kim"
RustAssistant: Using LLMs to Fix Compilation Errors in Rust Code,"Pantazis Deligiannis,Akash Lal,Nikita Mehrotra,Rishi Poddar,Aseem Rastogi"
SAND: Decoupling Sanitization from Fuzzing for Low Overhead,"Ziqiao Kong,Shaohua Li,Heqing Huang,Zhendong Su"
Scenario-Driven and Context-Aware Automated Accessibility Testing for Android Apps,"Yuxin Zhang,Sen Chen,Xiaofei Xie,Zibo Liu,Lingling Fan"
Search-Based LLMs for Code OptimizationAward Winner,"Shuzheng Gao,Cuiyun Gao,Wenchao Gu,Michael Lyu"
SECRET: Towards Scalable and Efficient Code Retrieval via Segmented Deep Hashing,"Wenchao Gu,Ensheng Shi,Yanlin Wang,Lun Du,Shi Han,Hongyu Zhang,Dongmei Zhang,Michael Lyu"
SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI AutomationAward Winner,"Dehai Zhao,Zhenchang Xing,Qinghua Lu,Xiwei (Sherry) Xu,Liming Zhu"
Selecting Initial Seeds for Better JVM Fuzzing,"Tianchang Gao,Junjie Chen,Dong Wang,Yile Guo,Yingquan Zhao,Zan Wang"
Show Me Your Code! Kill Code Poisoning: A Lightweight Method Based on Code NaturalnessSecurity,"Weisong Sun,Yuchen Chen,Mengzhe Yuan,Chunrong Fang,Zhenpeng Chen,Chong Wang,Yang Liu,Baowen Xu,Zhenyu Chen"
Similar but Patched Code Considered Harmful -- The Impact of Similar but Patched Code on Recurring Vulnerability Detection and How to Remove ThemSecurity,"Zixuan Tan,Jiayuan Zhou,Xing Hu,Shengyi Pan,Kui Liu,Xin Xia"
SmartReco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp AnalysisSecurity,"Jingwen Zhang,Zibin Zheng,Yuhong Nan,Mingxi Ye,Kaiwen Ning,Yu Zhang,Weizhe Zhang"
SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model AgentsSE for AI,"Feng Lin,Dong Jae Kim,Tse-Hsun (Peter) Chen"
"Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets","Christof Tinnes,Alisa Carla Welter,Sven Apel"
Source Code Summarization in the Era of Large Language Models,"Weisong Sun,Yun Miao,Yuekang Li,Hongyu Zhang,Chunrong Fang,Yi Liu,Gelei Deng,Yang Liu,Zhenyu Chen"
SpecGen: Automated Generation of Formal Program Specifications via Large Language ModelsFormal Methods,"Lezhi Ma,Shangqing Liu,Yi Li,Xiaofei Xie,Lei Bu"
SpecRover: Code Intent Extraction via LLMs,"Haifeng Ruan,Yuntong Zhang,Abhik Roychoudhury"
Static Analysis of Remote Procedure Call in Java Programs,"Baoquan Cui,RongQu,Zhen Tang,Jian Zhang"
Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,"Zachary Karas,Benjamin Gold,Violet Zhou,Noah Reardon,Thad Polk,Catie Chang,Yu Huang"
Synthesizing Document Database Queries using Collection Abstractions,"Qikang Liu,Yang He,Yanwen Cai,Byeongguk Kwak,Yuepeng Wang"
TacDroid: Detection of Illicit Apps through Hybrid Analysis of UI-based Transition Graphs,"Yanchen Lu,Hongyu Lin,Zehua He,Haitao Xu,Zhao Li,Shuai Hao,Liu Wang,Haoyu Wang,Kui Ren"
Template-Guided Program Repair in the Era of Large Language Models,"Kai Huang,Jian Zhang,Xiangxin Meng,Yang Liu"
Testing and Understanding Deviation Behaviors in FHE-hardened Machine Learning ModelsSE for AI,"Yiteng Peng,Daoyuan Wu,Zhibo Liu,Dongwei Xiao,Zhenlan Ji,Juergen Rahmel,Shuai Wang"
Test Intention Guided LLM-based Unit Test Generation,"Zifan Nan,Zhaoqiang Guo,Kui Liu,Xin Xia"
Thanos: DBMS Bug Detection via Storage Engine Rotation Based Differential TestingAward Winner,"Ying Fu,Zhiyong Wu,Yuanliang Zhang,Jie Liang,Jingzhou Fu,Yu Jiang,Shanshan Li,Liao Xiangke"
The Design Smells Breaking the Boundary between Android Variants and AOSP,"Wuxia Jin,Jiaowei Shang,Jianguo Zheng,Mengjie Sun,Zhenyu Huang,Ming Fan,Ting Liu"
The Fact Selection Problem in LLM-Based Program Repair,"Nikhil Parasaram,Huijie Yan,Boyu Yang,Zineb Flahy,Abriele Qudsi,Damian Ziaber,Earl T. Barr,Sergey Mechtaev"
The Power of Types: Exploring the Impact of Type Checking on Neural Bug Detection in Dynamically Typed Languages,"Boqi Chen,José Antonio Hernández López,Gunter Mussbacher,Daniel Varro"
The Product Beyond the Model -- An Empirical Study of Repositories of Open-Source ML ProductsSE for AI,"Nadia Nahar,Haoran Zhang,Grace Lewis,Shurui Zhou,Christian Kästner"
The Same Only Different: On Information Modality for Configuration Performance Analysis,"Hongyuan Liang,Yue Huang,Tao Chen"
The Seeds of the FUTURE Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning LibrariesSecurityAward Winner,"Zhiyuan Li,Jingzheng Wu,Xiang Ling,Tianyue Luo,ZHIQING RUI,Yanjun Wu"
TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference,"Chong Wang,Jian Zhang,Yiling Lou,Mingwei Liu,Weisong Sun,Yang Liu,Xin Peng"
TIVER: Identifying Adaptive Versions of C/C++ Third-Party Open-Source Components Using a Code Clustering TechniqueSecurity,"Youngjae Choi,Seunghoon Woo"
TOGLL: Correct and Strong Test Oracle Generation with LLMs,"Soneya Binta Hossain,Matthew B Dwyer"
TopSeed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,"Jaehyeok Lee,Sooyoung Cha"
Toward a Better Understanding of Probabilistic Delta Debugging,"Mengxiao Zhang,Zhenyang Xu,Yongqiang Tian,Xinru Cheng,Chengnian Sun"
Towards Better Answers: Automated Stack Overflow Post Updating,"Yubo Mai,Zhipeng Gao,Haoye Wang,Tingting Bi,Xing Hu,Xin Xia,JianLing Sun"
Towards High-strength Combinatorial Interaction Testing for Highly Configurable Software Systems,"Chuan Luo,Shuangyu Lyu,Wei Wu,Hongyu Zhang,Dianhui Chu,Chunming Hu"
Towards More Trustworthy Deep Code Models by Enabling Out-of-Distribution DetectionSecuritySE for AI,"Yanfu Yan,Viet Duong,Huajie Shao,Denys Poshyvanyk"
Towards Neural Synthesis for SMT-assisted Proof-Oriented ProgrammingSecurityFormal MethodsAward Winner,"Saikat Chakraborty,Gabriel Ebner,Siddharth Bhat,Sarah Fakhoury,Sakina Fatima,Shuvendu K. Lahiri,Nikhil Swamy"
Towards Understanding the Characteristics of Code Generation Errors Made by Large Language Models,"Zhijie Wang,Zijie Zhou,Da Song,Yuheng Huang,Shengmai Chen,Lei Ma,Tianyi Zhang"
TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron ProvenanceSE for AI,"Waris Gill,Ali Anwar,Muhammad Ali Gulzar"
TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability CodeSecurity,"Siyuan Li,Yuekang Li,Zuxin Chen,Chaopeng Dong,Yongpan Wang,Hong Li,Yongle Chen,Hongsong Zhu"
Treefix: Enabling Execution with a Tree of Prefixes,"Beatriz Souza,Michael Pradel"
"Trust Dynamics in AI-Assisted Development: Definitions, Factors, and Implications","Sadra Sabouri,Philipp Eibl,Xinyi Zhou,Morteza Ziyadi,Nenad Medvidović,Lars Lindemann,Souti Chattopadhyay"
Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-box Fuzzing?Award Winner,"Mingyuan Wu,Jiahong Xiang,Kunqiu Chen,Peng Di,Shin Hwei Tan,Heming Cui,Yuqun Zhang"
"UML is Back. Or is it? Investigating the Past, Present, and Future of UML in Open Source Software","Joseph Romeo,Marco Raglianti,Csaba Nagy,Michele Lanza"
Unavoidable Boundary Conditions: A Control Perspective on Goal Conflicts,"Sebastian Uchitel,Francisco Cirelli,Dalal Alrajeh"
Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,"Xingyu Wang,MingSen Wang,Wenbo Shen,Rui Chang"
"Understanding Architectural Complexity, Maintenance Burden, and Developer Sentiment---a Large-Scale Study","Yuanfang Cai,Lanting He,Yony Kochinski,Jun Qian,Ciera Jaspan,Nan Zhang,Antonio Bianco"
Understanding Compiler Bugs in Real Development,Hao Zhong
Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak AttacksSecuritySE for AI,"shide zhou,Li Tianlin,Kailong Wang,Yihao Huang,Ling Shi,Yang Liu,Haoyu Wang"
Understanding the Response to Open-Source Dependency Abandonment in the npm EcosystemAward Winner,"Courtney Miller,Mahmoud Jahanshahi,Audris Mockus,Bogdan Vasilescu,Christian Kästner"
Unleashing the True Potential of Semantic-based Log Parsing with Pre-trained Language Models,"Van-Hoang Le,Yi Xiao,Hongyu Zhang"
Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the FamiliarAward Winner,"Yuanliang Zhang,Yifan Xie,Shanshan Li,Ke Liu,Chong Wang,Zhouyang Jia,Xiangbing Huang,Jie Song,Chaopeng Luo,Zhizheng Zheng,Rulin Xu,Yitong Liu,Si Zheng,Liao Xiangke"
Unveiling the Energy Vampires: A Methodology for Debugging Software Energy ConsumptionAward Winner,"Enrique Barba Roque,Luís Cruz,Thomas Durieux"
User Personas Improve Social Sustainability by Encouraging Software Developers to Deprioritize Antisocial Features,"Bimpe Ayoola,Miikka Kuutila,Rina R. Wehbe,Paul Ralph"
Vulnerability Detection with Code Language Models: How Far Are We?Security,"Yangruibo Ding,Yanjun Fu,Omniyyah Ibrahim,Chawin Sitawarin,Xinyun Chen,Basel Alomair,David Wagner,Baishakhi Ray,Yizheng Chen"
WDD: Weighted Delta Debugging,"Xintong Zhou,Zhenyang Xu,Mengxiao Zhang,Yongqiang Tian,Chengnian Sun"
Weakly-supervised Log-based Anomaly Detection with Inexact Labels via Multi-instance LearningSecurity,"Minghua He,Tong Jia,Chiming Duan,Huaqian Cai,Ying Li,Gang Huang"
What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards GenAI,"Rudrajit Choudhuri,Bianca Trinkenreich,Rahul Pandita,Eirini Kalliamvakou,Igor Steinmacher,Marco Gerosa,Christopher Sanchez,Anita Sarma"
What You See Is What You Get: Attention-based Self-guided Automatic Unit Test Generation,"Xin Yin,Chao Ni,xiaodanxu,Xiaohu Yang"
When Quantum Meets Classical: Characterizing Hybrid Quantum-Classical Issues Discussed in Developer ForumsQuantum,"Jake Zappin,Trevor Stalnaker,Oscar Chaparro,Denys Poshyvanyk"
Who’s Pushing the Code: An Exploration of GitHub Impersonation,"Yueke Zhang,Anda Liang,Xiaohan Wang,Pamela J. Wisniewski,Fengwei Zhang,Kevin Leach,Yu Huang"
Your Fix Is My Exploit: Enabling Comprehensive DL Library API Fuzzing with Large Language Models,"Kunpeng Zhang,Shuai Wang,Jitao Han,Xiaogang Zhu,Xian Li,Shaohua Wang,Sheng Wen"
$ZTD_{JAVA}$: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust DependenciesSecurity,"Paschal Amusuo,Kyle A. Robinson,Tanmay Singla,Huiyun Peng,Aravind Machiry,Santiago Torres-Arias,Laurent Simon,James C. Davis"
